contract,x,y,lat,lon,,,,,,
№4937,465438.15,5306484.8,47.91075665,56.53747314,47,54,51,56,31,52
№4937,467270.35,5307462.22,47.91964669,56.56191772,47,55,57,56,33,34
№4937,468421.26,5309184.74,47.93520203,56.57719577,47,56,15,56,34,16
№4937,467883.42,5309465.62,47.93770238,56.56997395,47,56,6,56,34,42
№4937,467008.82,5308914.74,47.93270166,56.55830603,47,55,10,56,33,47
№4937,464880.17,5306889.54,47.91436779,56.5299732,47,54,38,56,32,19
№5145,464587.91,5306613.44,47.91186763,56.52608456,47,54,42,56,31,38
№5145,464878.1,5306549.97,47.91131255,56.52997317,47,55,12,56,31,52
№5145,465438.19,5306484.8,47.91075665,56.53747367,47,56,10,56,33,43
№5145,464880.22,5306889.54,47.91436779,56.52997387,47,56,26,56,34,28
№5145,467008.82,5308914.74,47.93270166,56.55830603,47,56,28,56,34,56
№5145,467883.44,5309465.62,47.93770238,56.56997422,47,56,6,56,34,42
№5145,468421.26,5309184.74,47.93520203,56.57719577,47,56,15,56,34,16
№5145,468715.43,5309862.47,47.94131403,56.58108502,47,55,57,56,33,34
№5145,468134.17,5309803.89,47.94075833,56.57330624,47,54,51,56,31,52
№5145,467197.84,5309315.08,47.93631323,56.5608061,47,54,38,56,32,19
№5145,464884.07,5307537.88,47.92020112,56.52997257,47,54,40,56,31,52
КТМ,461403.66,5306920.27,47.91444441,56.48344439,,,,,,
КТМ,462415.98,5307469.33,47.91944442,56.49694439,,,,,,
КТМ,463180.11,5306877.79,47.91416669,56.50722228,,,,,,
КТМ,463075.54,5306754.96,47.91305558,56.50583335,,,,,,
КТМ,463694.71,5306195.29,47.90805558,56.51416663,,,,,,
КТМ,463771.15,5305145.08,47.89861115,56.51527772,,,,,,
КТМ,463015.24,5303822.27,47.88666667,56.50527782,,,,,,
КТМ,461547.42,5304819.84,47.89555553,56.48555562,,,,,,
