Pretests,Probe MD,DD Mobility,Formation Pres.,Mud Pres. Before,Formation Temp.,Pretest Status
1,444.51,1.99,43.66,51.88,25.55,Достоверный замер
2,445.5,2.94,43.76,52.04,25.93,Достоверный замер
3,518.11,27.59,50.18,60.6,27.19,Достоверный замер
4,521.49,457,50.5,61.1,27.21,Достоверный замер
5,523,,,61.24,27.28,Низкопроницаемый замер
6,523.7,,,61.35,27.39,Низкопроницаемый замер
7,524.27,,,61.45,28.02,Низкопроницаемый замер
8,621,,,72.8,29,Низкопроницаемый замер
9,621.1,,,72.85,29.01,Низкопроницаемый замер
10,623.79,16.09,60.31,73.18,29.43,Достоверный замер
11,667.2,28.27,58.2,78.27,30.17,Достоверный замер
12,667.9,9.28,58.21,78.36,30.28,Достоверный замер
13,671.49,19.41,56.08,78.8,30.24,Достоверный замер
14,674.7,0.17,54.93,79.22,30.11,Низкопроницаемый замер с эффектом избыточного давления
15,675.99,38.5,55.72,79.38,30.01,Достоверный замер
16,678.01,0.08,60.74,79.66,29.98,Низкопроницаемый замер с эффектом избыточного давления
17,691.3,,,81.25,30.32,Низкопроницаемый замер
18,691.5,,,81.25,30.3,Низкопроницаемый замер
19,692.8,16.15,65.45,81.43,30.39,Достоверный замер
20,694.71,15.69,65.71,81.66,30.43,Достоверный замер
21,697.6,26.06,65.96,82.01,30.48,Достоверный замер
22,699.71,49.62,66.17,82.27,30.53,Достоверный замер
23,702,98.62,66.4,82.54,30.49,Достоверный замер
24,705.09,12.79,66.71,82.37,30.44,Достоверный замер
25,707.19,,,82.74,30.25,Низкопроницаемый замер
26,707.39,3.69,66.94,82.69,30.3,Достоверный замер
27,708.8,,,83,30.05,Низкопроницаемый замер
28,709.51,,,83.12,29.92,Низкопроницаемый замер
29,712.41,0.02,81.65,83.49,29.88,Низкопроницаемый замер с эффектом избыточного давления
30,822,,,96.29,31.34,Низкопроницаемый замер
31,825.27,44.9,92.63,96.7,31.33,Достоверный замер
32,826.89,1.4,96.18,96.91,31.24,"Достоверный замер, возможен эффект избыточного давления"
33,828.01,34.38,95.92,97.06,31.27,Достоверный замер
34,828.69,,,97.15,31.45,Потеря герметизации
35,838.5,,,98.3,31.59,Без герметизациии
36,849.2,,,99.56,31.51,Без герметизациии
37,849.48,,,99.58,31.56,Без герметизациии
38,851.1,,,99.84,31.37,Низкопроницаемый замер
39,851.59,,,99.85,31.44,Без герметизациии
40,862.79,0.34,97.97,101.24,31.22,"Достоверный замер, возможен эффект избыточного давления"
41,864.67,0.2,90.44,101.49,30.86,"Достоверный замер, возможен эффект избыточного давления"
42,867.68,0.81,90.33,101.9,30.22,Достоверный замер
