ВИД РАБОТ,Start,Finish,Resource
Получение экологического разрешения на воздействие по проекту ГТП на строительства 44 скважин,2022-07-29,2022-12-31,ICP
Получения экологического разрешения на воздействие по проекту ГТП на строительства 8 скважин,2022-08-26,2023-02-07,ICP
Переинтерпретация сейсмики 3Д МОГТ 50 кв.км.,2022-07-25,2023-01-21,ICP & IDS
Переинтерпретация ГИС и АКЦ.,2022-10-15,2022-12-14,IDS
Геолого-технические мероприятия по Пермо-Триасу (СКО),2022-11-10,2022-12-30,ICP & IDS
Построение геологической модели месторождения,2022-12-20,2023-03-20,IDS
Построение гидродинамической модели месторождения,2023-03-20,2023-06-18,IDS
Строительство оценочных скважин,2023-06-10,2023-07-20,ICP & IDS
Строительство эксплуатационных скважин,2023-04-10,2023-10-27,ICP
Анализ разработки месторождения,2023-08-01,2023-10-30,ICP & IDS
ПИР нефтепровод 75 км ННТ НМ,2022-10-03,2023-10-03,ICP
СМР нефтепровод 75 км ННТ НМ,2023-06-15,2024-01-01,ICP
ПИР СППД,2023-03-20,2023-12-25,ICP
СМР СППД,2023-08-07,2023-12-25,ICP
