Well,Plug,Depth,Porosity,Kl,Swi,Sor,Horizon
KH-2,32ds,623.37,23.53,9.44,46.44,21.21,IV-2
KH-2,48a,632.91,28.49,55.98,42.19,22.28,IV-2
KH-2,52,634.45,28.98,11.02,52.66,17.33,IV-2
KH-2,53,634.76,32.24,128.34,31.17,22.87,IV-2
KH-2,58,637.28,7.43,0.01,98.72,1.01,IV-2
KH-2,64,639.72,33.84,438.24,24.18,18.87,IV-2
KH-2,65ds,640.13,33.53,649.92,18.85,26.21,IV-2
KH-2,67ds,641.51,34.60,623.87,23.13,18.93,IV-2
KH-2,70ds,642.61,31.53,353.56,21.99,24.06,IV-2
KH-2,74,643.99,32.88,451.20,23.04,21.02,IV-2
KH-2,75ds,644.32,33.64,547.22,22.45,23.61,IV-2
KH-2,81ds,646.57,32.83,718.19,21.09,20.66,IV-2
KH-2,95ds,655.26,35.97,7988.86,12.91,17.70,IV-1
KH-2,110,711.1,21.65,20.61,63.05,10.97,T-II
KH-2,121ds,717.52,27.35,85.90,61.77,8.26,T-II
KH-2,127a,720.57,13.08,3.63,73.94,9.08,T-II
KH-2,135ds,724.12,19.03,9.10,68.50,9.52,T-II
KH-3,14,952.68,16.72,0.47,76.50,17.00,P2
KH-3,19ds,954.28,17.36,0.87,65.35,28.15,P2
KH-3,25,956.02,16.49,11.08,64.25,19.76,P2
KH-3,26ds,956.28,22.22,7.30,47.85,32.17,P2
KH-3,45,963.52,17.87,0.61,71.84,20.17,P2
KH-3,47ds,964.35,10.87,0.50,69.98,24.12,P2
KH-3,51,965.35,10.91,0.15,76.88,21.02,P2
